y,x1,x2,x3,x4,x5
1,22.08,11.46,1.585,100,1213
0,22.67,7,0.165,160,1
0,29.58,1.75,1.25,280,1
1,20.17,8.17,1.96,60,159
0,15.83,0.585,1.5,100,1
1,17.42,6.5,0.125,60,101
0,58.67,4.46,3.04,43,561
1,27.83,1,3,176,538
0,55.75,7.08,6.75,100,51
1,33.5,1.75,4.5,253,858
1,41.42,5,5,470,1
1,20.67,1.25,1.375,140,211
1,58.58,2.71,2.415,320,1
1,29.58,4.5,7.5,330,1
0,18.92,9,0.75,88,592
1,20,1.25,0.125,140,5
0,22.42,5.665,2.585,129,3258
0,28.17,0.585,0.04,260,1005
0,19.17,0.585,0.585,160,1
1,41.17,1.335,0.165,168,1
1,41.58,1.75,0.21,160,1
1,19.5,9.585,0.79,80,351
1,22.5,0.125,0.125,200,71
1,33.17,3.04,2.04,180,18028
0,30.67,12,2,220,20
1,23.08,2.5,1.085,60,2185
1,27,0.75,4.25,312,151
1,52.33,1.375,9.46,200,101
1,23.08,11.5,2.125,290,285
1,42.83,1.25,13.875,352,113
1,25,12.5,3,20,1
1,39.58,13.915,8.625,70,1
0,47.42,3,13.875,519,1705
1,22.58,1.5,0.54,120,68
1,63.33,0.54,0.585,180,1
1,23.75,0.415,0.04,128,7
0,20.75,10.25,0.71,49,1
0,24.5,1.75,0.165,132,1
0,29.5,2,2,256,18
1,32.33,3.5,0.5,232,1
1,21.08,4.125,0.04,140,101
1,28.17,0.125,0.085,216,2101
1,19,1.75,2.335,112,7
1,27.58,3.25,5.085,369,2
1,27.83,1.5,2,434,36
0,37.33,2.5,0.21,260,247
1,42.5,4.915,3.165,52,1443
1,56.75,12.25,1.25,200,1
1,43.17,5,2.25,141,1
0,23.75,0.71,0.25,240,5
1,18.5,2,1.5,120,301
0,40.83,3.5,0.5,1160,1
0,24.5,0.5,1.5,280,825
0,19.5,0.165,0.04,380,1
1,21.5,11.5,0.5,100,69
1,27.25,1.585,1.835,583,714
1,29.42,1.25,1.75,200,1
1,28.25,5.04,1.5,144,8
1,36.5,4.25,3.5,454,51
1,25.58,0.335,3.5,340,1
1,29.83,3.5,0.165,216,1
0,32.17,1.46,1.085,120,2080
0,18.58,10,0.415,80,43
1,39.92,5,0.21,550,1
1,23.42,1,0.5,280,1
0,24.75,13.665,1.5,280,2
1,34.17,5.25,0.085,290,7
1,27.75,1.29,0.25,140,1
1,42.75,4.085,0.04,108,101
0,18.17,10,0.165,340,1
1,21.25,1.5,1.5,150,9
0,39.08,4,3,480,1
1,38.67,0.21,0.085,280,1
1,27.67,13.75,5.75,487,501
1,27.75,0.585,0.25,260,501
0,25,0.875,1.04,160,5861
1,27.67,2,1,140,7545
1,32.33,2.5,1.25,280,1
1,38.25,10.125,0.125,160,1
1,27.83,4,5.75,75,1
1,33.58,0.25,4,420,1
1,34.08,0.08,0.04,280,2001
0,20.75,10.335,0.335,80,51
1,33.17,1,0.75,340,4072
1,22.75,11,2.5,100,810
1,48.75,8.5,12.5,181,1656
1,20.67,0.835,2,240,1
0,31.25,3.75,0.625,181,1
1,22,0.79,0.29,420,284
1,28.92,0.375,0.29,220,141
1,21,3,1.085,160,2
0,24.75,12.5,1.5,120,568
0,20.83,0.5,1,260,1
0,26.5,2.71,0.085,80,1
0,38.33,4.415,0.125,160,1
1,39.25,9.5,6.5,240,4608
1,25.75,0.5,1.46,312,1
0,46.08,3,2.375,396,4160
1,19.67,10,0.835,140,1
0,22.25,1.25,3.25,280,1
0,16.5,1.25,0.25,108,99
0,15.92,2.875,0.085,120,1
1,34.83,4,12.5,184,1
0,47.42,8,6.5,375,51101
1,45.17,1.5,2.5,140,1
1,15.17,7,1,600,1
1,18.83,0.415,0.165,200,2
1,18,0.165,0.21,200,41
1,37.5,0.835,0.04,120,6
1,22.67,1.585,3.085,80,1
1,47.83,4.165,0.085,520,1
1,34.08,2.5,1,460,17
1,43.08,0.375,0.375,300,163
1,34.5,4.04,8.5,195,1
1,18.25,0.165,0.25,280,1
1,23.08,2.5,0.085,100,4209
0,22.5,8.46,2.46,164,1
1,17.92,0.205,0.04,280,751
1,18.42,10.415,0.125,120,376
0,27.67,1.5,2,368,1
0,18.92,9.25,1,80,501
1,22.67,0.75,1.585,400,10
1,62.5,12.75,5,112,1
0,23.5,9,8.5,120,1
1,35.25,3.165,3.75,680,1
1,41.17,4.04,7,320,1
1,42.17,5.04,12.75,92,1
0,33.75,0.75,1,212,1
1,25.67,12.5,1.21,140,259
1,24.33,6.625,5.5,100,1
1,23.33,11.625,0.835,160,301
1,30.67,2.5,2.25,340,1
1,37.17,4,5,280,1
1,26.25,1.54,0.125,100,1
0,29.75,0.665,0.25,300,1
1,17.25,3,0.04,160,41
1,29.25,14.79,5.04,168,1
0,28.58,3.54,0.5,171,1
1,23.42,0.585,0.085,180,1
1,25,11.25,2.5,200,1209
0,18.75,7.5,2.71,184,26727
1,17.08,0.25,0.335,160,9
1,32.92,2.5,1.75,720,1
0,20.33,10,1,50,1466
1,33.17,1.04,6.5,164,31286
0,25.33,2.085,2.75,360,2
1,20.75,5.085,0.29,140,185
0,40.33,8.125,0.165,184,19
1,29.42,1.25,0.25,400,109
1,40.92,0.5,0.5,130,1
0,29.5,0.46,0.54,380,501
1,54.42,0.5,3.96,180,315
1,34,5.5,1.5,60,1
1,25,12,2.25,120,6
1,33.67,2.165,1.5,120,1
1,36.17,5.5,5,210,688
1,19.5,0.29,0.29,280,365
1,24.17,0.875,4.625,520,2001
1,25.33,0.58,0.29,96,5125
1,29.58,4.75,2,460,69
1,43.17,2.25,0.75,560,1
1,28.75,1.165,0.5,280,1
1,45,8.5,14,88,2001
0,22.83,2.29,2.29,140,2385
0,20.67,3,0.165,100,7
1,27.83,1.5,2.25,100,4
1,40.92,2.25,10,176,1
0,24.33,2.5,4.5,200,457
1,35.58,0.75,1.5,231,1
1,48.33,12,16,110,1
1,35.17,2.5,4.5,150,1271
1,29.25,13,0.5,228,1
0,16.92,0.5,0.165,240,36
0,16,0.165,1,320,2
1,28,2,4.165,181,1
1,41.5,1.54,3.5,216,1
1,24.5,13.335,0.04,120,476
1,33.67,1.25,1.165,120,1
0,40.83,10,1.75,29,838
1,20.42,1.835,2.25,100,151
1,37.5,1.125,1.5,431,1
1,48.5,4.25,0.125,225,1
1,23,0.75,0.5,320,1
1,16.33,2.75,0.665,80,22
1,22.67,10.5,1.335,100,1
0,21.75,11.75,0.25,180,1
0,25.08,2.54,0.25,370,1
1,36.33,2.125,0.085,50,1188
0,28.58,3.75,0.25,40,155
1,22.17,12.125,3.335,180,174
1,34.17,1.54,1.54,520,50001
1,35,2.5,1,210,1
1,28.58,3.625,0.25,100,1
0,19.17,5.415,0.29,80,485
1,23.25,1,0.835,300,1
1,16.5,0.125,0.165,132,1
0,20.08,0.125,1,240,769
1,22.33,11,2,80,279
1,34,5.085,1.085,480,1
0,57.08,0.335,1,252,2198
1,16.25,0.835,0.085,200,1
1,32.83,2.5,2.75,160,2073
1,48.25,25.085,1.75,120,15
1,34.17,2.75,2.5,232,201
1,44.25,0.5,10.75,400,1
1,38.92,1.75,0.5,300,3
1,31.58,0.75,3.5,320,1
1,25.08,1.71,1.665,395,21
1,65.42,11,20,22,1
1,32.33,7.5,1.585,420,1
0,31.92,3.125,3.04,200,5
1,24.83,2.75,2.25,184,601
1,21.92,0.54,0.04,840,60
1,51.83,3,1.5,180,5
1,38.42,0.705,0.375,225,501
1,39.17,1.71,0.125,480,1
1,18.17,2.46,0.96,160,588
1,20,11.045,2,136,1
1,32.75,2.335,5.75,292,1
1,18.58,5.71,0.54,120,1
1,39.33,5.875,10,399,1
0,19.58,0.665,1.665,220,6
0,22.67,0.75,2,200,395
1,25.67,3.25,2.29,416,22
1,21.08,10.085,1.25,260,1
1,20.67,5.29,0.375,160,1
0,19.67,0.21,0.29,80,100
0,38.58,5,13.5,980,1
0,50.08,12.54,2.29,156,1
0,15.75,0.375,1,120,19
0,24.5,12.75,4.75,73,445
1,21,4.79,2.25,80,301
1,22.08,11,0.665,100,1
1,54.58,9.415,14.415,30,301
1,18.08,5.5,0.5,80,1
1,36.67,4.415,0.25,320,1
1,38.17,10.125,2.5,520,197
1,21.83,1.54,0.085,356,1
0,51.92,6.5,3.085,73,1
1,22.17,2.25,0.125,160,11
1,20.17,5.625,1.71,120,1
1,23.25,4,0.25,160,1
1,36.17,0.42,0.29,309,3
1,23.58,0.835,0.085,220,6
0,18.83,4.415,3,240,1
1,27.25,0.625,0.455,200,1
1,32.42,3,0.165,120,1
1,19.42,1.5,2,100,21
1,39.92,6.21,0.04,200,301
0,23.42,0.79,1.5,80,401
0,30,5.29,2.25,99,501
1,31,2.085,0.085,300,1
0,25.17,2.875,0.875,360,1
1,27.42,12.5,0.25,720,1
1,31.57,4,5,290,2280
1,34.08,6.5,0.125,443,1
1,22.08,2.335,0.75,180,1
1,31.08,3.085,2.5,160,42
1,31.57,0.5,0.835,320,1
1,27.25,1.665,5.085,399,828
0,18.83,9.5,1.625,40,601
0,27.25,0.29,0.125,272,109
0,19.58,0.665,1,2000,3
0,50.25,0.835,0.5,240,118
1,31.08,1.5,0.04,160,1
1,33.58,2.75,4.25,204,1
0,20.83,3,0.04,100,1
1,36.17,18.125,0.085,320,3553
0,23.58,0.83,0.415,200,12
1,35.17,4.5,5.75,711,1
1,28.25,0.875,0.96,396,1
1,31.57,0.625,0.25,380,2011
1,19.42,6.5,1.46,80,2955
1,39.08,6,1.29,108,1098
1,17.08,3.29,0.335,140,3
1,44.83,7,1.625,160,3
0,41.17,6.5,0.5,145,1
1,38.58,3.335,4,383,1345
0,28.17,0.375,0.585,80,1
0,19.17,8.585,0.75,96,1
1,31.57,0.04,4.25,460,1
0,22.5,8.5,1.75,80,991
0,22.92,1.25,0.25,120,810
0,29.5,1.085,1,280,14
0,32,6,1.25,272,1
1,27,1.5,0.375,260,1066
1,19.33,10.915,0.585,200,8
1,35.75,2.415,0.125,220,2
0,28.75,3.75,1.085,371,1
1,34.42,4.25,3.25,274,611
0,33.25,3,2,180,1
1,25.25,1,0.5,200,1
1,32.25,0.165,3.25,432,8001
0,20.5,11.835,6,340,1
0,30.25,5.5,5.5,100,1
0,24.58,0.67,1.75,400,1
1,23.17,11.125,0.46,100,1
0,32.33,0.54,0.04,440,11178
1,23.92,1.5,1.875,200,328
1,36.75,0.125,1.5,232,114
1,29.83,1.25,0.25,224,1
1,21.17,0.25,0.25,280,205
1,31.42,15.5,0.5,120,1
1,22.83,3,1.29,260,801
1,37.5,1.75,0.25,164,401
0,24.83,4.5,1,360,7
1,36.33,3.79,1.165,200,1
0,47.25,0.75,2.75,333,893
1,32.08,4,1.5,120,1
0,30.58,10.665,0.085,129,4
1,27.83,1.54,3.75,100,4
1,16.08,0.75,1.75,352,691
1,24.58,12.5,0.875,260,1
1,32.67,5.5,5.5,408,1001
1,30.17,0.5,1.75,32,541
1,22.25,0.46,0.125,280,56
1,41.75,0.96,2.5,510,601
1,36.67,2,0.25,221,1
1,29.92,1.835,4.335,260,201
1,20.08,0.25,0.125,200,1
1,19.67,0.375,2,80,1
1,40.58,3.29,3.5,400,1
0,16.33,0.21,0.125,200,2
1,29.5,0.58,0.29,340,2804
1,34,4.5,1,240,1
1,42,0.205,5.125,400,1
0,22.5,11,3,268,1
1,24.42,2,0.165,320,1301
1,44.33,0.5,5,320,1
0,23,11.75,0.5,300,552
1,34.42,1.335,0.125,440,4501
1,23.08,11.5,3.5,56,743
1,25.92,0.875,0.375,174,4
1,20.42,1.085,1.5,108,8
1,31.67,16.165,3,250,731
1,59.67,1.54,0.125,260,1
1,30.08,1.04,0.5,132,29
1,48.58,6.5,6,350,1
0,23.58,11.5,3,20,17
1,20.17,9.25,1.665,40,29
1,33.58,0.335,0.085,180,1
1,23.58,0.46,2.625,208,348
1,16.92,0.335,0.29,200,1
0,60.58,16.5,11,21,10562
0,25,12.33,3.5,400,459
1,21.5,9.75,0.25,140,1
0,25.25,13.5,2,200,2
1,26.67,1.75,1,160,5778
1,57.83,7.04,14,360,1333
1,39.83,0.5,0.25,288,1
1,27.58,2.04,2,370,561
1,30.17,6.5,3.125,330,1201
1,51.83,2.04,1.5,120,2
0,25,11,4.5,120,1
1,29.67,0.75,0.04,240,1
0,33.67,0.375,0.375,300,45
1,25.75,0.75,0.25,349,24
0,28.67,1.04,2.5,300,1431
0,18.08,0.375,10,300,1
1,20.42,7,1.625,200,1392
1,18.08,6.75,0.04,140,1
1,47.67,2.5,2.5,410,2511
1,13.75,4,1.75,120,1001
1,19.33,9.5,1,60,401
0,21.92,11.665,0.085,320,6
1,17.58,10,0.165,120,2
1,34.83,2.5,3,200,1
1,29.17,3.5,3.5,329,1
1,21.42,0.75,0.75,132,3
1,18.17,10.25,1.085,320,14
1,28,3,0.75,300,68
0,31.57,3.5,3,300,1
0,20.42,7.5,1.5,160,235
0,21.25,2.335,0.5,80,1
1,26.67,4.25,4.29,120,1
1,42.08,1.04,5,500,10001
0,18.25,10,1,120,2
0,28.5,1,1,167,501
0,21.5,6,2.5,80,919
1,21.83,11,0.29,121,1
1,21.92,0.5,0.125,360,1
1,32.67,9,5.25,154,1
0,45.33,1,0.125,263,1
0,23.58,0.585,0.125,120,88
0,17.92,0.54,1.75,80,6
1,33,2.5,7,280,1
0,22.67,0.335,0.75,160,1
1,34.67,1.08,1.165,28,1
1,29.67,1.415,0.75,240,101
1,31.83,2.5,7.5,523,1
0,20.67,1.835,2.085,220,2504
1,22.08,0.83,2.165,128,1
1,31.92,4.46,6.04,311,301
0,22.67,0.79,0.085,144,1
1,30.17,1.085,0.04,170,180
1,37.75,7,11.5,300,6
1,17.08,0.085,0.04,140,723
1,49.17,2.29,0.29,200,4
0,34.83,1.25,0.5,160,1
1,59.5,2.75,1.75,60,59
1,25.5,0.375,0.25,260,15109
0,41.58,1.04,0.665,240,238
1,19.17,4,1,360,1001
1,23.33,1.5,1.415,422,201
1,69.17,9,4,70,7
1,43.25,3,6,80,1
1,23,0.625,0.125,180,2
1,34.75,2.5,0.5,348,1
1,34.25,1.75,0.25,163,1
0,45,4.585,1,240,1
1,30.58,2.71,0.125,80,1
1,27.67,0.75,0.165,220,252
1,19.42,7.25,0.04,100,2
0,23.5,1.5,0.875,160,1
1,31.67,0.83,1.335,303,3291
0,33.17,2.25,3.5,200,142
0,25.42,1.125,1.29,200,1
1,23.92,0.585,0.125,240,2
1,56,12.5,8,24,2029
0,28.5,3.04,2.54,70,1
1,32.08,4,2.5,360,1
1,21.17,0.875,0.25,280,205
1,43.25,25.21,0.21,760,91
1,37.42,2.04,0.04,400,5801
1,29.83,2.04,0.04,128,2
1,20.5,2.415,2,200,3001
1,47.17,5.835,5.5,465,151
1,22,7.835,0.165,184,1
1,20.5,10,2.5,40,1
1,24.08,0.875,0.085,254,1951
1,37.33,6.5,4.25,93,1
0,20.75,9.54,0.04,200,1001
1,36.67,3.25,9,102,640
1,22.58,10.04,0.04,60,397
0,46.67,0.46,0.415,440,7
1,39.17,2.5,10,200,1
1,39.17,1.625,1.5,186,4701
0,27.67,2.04,0.25,180,51
1,19.17,9.5,1.5,120,2207
1,39.5,4.25,6.5,117,1211
1,36.42,0.75,0.585,240,4
1,39.42,1.71,0.165,400,1
1,41.92,0.42,0.21,220,949
1,21.33,7.5,1.415,80,9801
0,27.58,3,2.79,280,11
1,21.58,0.79,0.665,160,1
1,28.25,5.125,4.75,420,8
1,26.92,2.25,0.5,640,4001
0,18.42,9.25,1.21,60,541
0,23.25,5.875,3.17,120,246
1,23.58,1.79,0.54,136,2
1,28.33,5,11,70,1
1,25.67,2.21,4,188,1
0,28.58,1.665,2.415,440,1
1,22.92,3.165,0.165,160,1059
0,24.5,1.04,0.5,180,148
1,24.75,0.54,1,120,2
1,32,1.75,0.04,393,1
1,48.08,3.75,1,100,3
0,28.42,3.5,0.835,280,1
1,25.42,0.54,0.165,272,445
1,18.58,10.29,0.415,80,1
1,21.67,1.165,2.5,180,21
1,24.58,1.25,0.25,110,1
1,16.33,4.085,0.415,120,1
1,26.75,2,0.75,80,1
1,48.17,3.5,3.5,230,1
1,23.5,2.75,4.5,160,26
0,41,2.04,0.125,455,1237
1,35.17,25.125,1.625,515,501
1,23.75,12,2.085,80,1
1,30.33,0.5,0.085,252,1
0,19.75,0.75,0.795,140,6
1,26.17,0.835,1.165,100,1
1,28.67,9.335,5.665,381,169
1,26,1,1.75,280,1
1,23.5,3.165,0.415,280,81
1,31.57,0.375,0.875,928,1
0,25.25,12.5,1,180,1063
1,33.17,3.165,3.165,380,1
1,23.92,0.665,0.165,100,1
1,26.67,2.71,5.25,211,1
0,22.5,0.415,0.335,144,1
1,39.92,0.54,0.5,200,1001
0,26.08,8.665,1.415,160,151
1,31.57,4,0.085,411,1
1,26.75,4.5,2.5,200,1211
0,32.25,1.5,0.25,372,123
1,17.67,4.46,0.25,80,1
0,37.75,5.5,0.125,228,1
1,24.42,12.335,1.585,120,1
0,25.75,0.5,0.875,491,1
0,22.75,6.165,0.165,220,1001
1,23,0.75,0.5,320,1
1,25.67,0.29,1.5,160,1
1,48.58,0.205,0.25,380,2733
1,35.25,16.5,4,80,1
0,22.92,11.585,0.04,80,1350
1,43,0.29,1.75,100,376
0,18.83,9.54,0.085,100,1
0,27.42,14.5,3.085,120,12
1,41,0.04,0.04,560,1
